"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"POWER,RESET";"SW_PUSH_6mm_H5mm";2;"SW_Push";;;
2;"HDD,DPWR1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
3;"ATX-MALE";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
4;"ATX-FEMALE";"PinSocket_2x05_P2.54mm_Vertical";1;"Header_02x05_Odd_Even";;;
